11/08/2026
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
541233	Lemon Tree Hotels Limited	7922.46464
541269	Chemfab Alkalis Ltd	143.73702
541276	HARDWYN INDIA LIMITED	6837.95494
541299	DR LALCHANDANI LABS LIMITED	86.37068
541300	IndInfravit Trust	10424.11177
541301	Orient Electric Limited	2133.65899
541302	Dhruv Consultancy Services Lim	189.66569
541303	Akshar Spintex Limited	7874.68500
541304	Indo US Bio-Tech Limited	200.52000
541336	IndoStar Capital Finance Limit	1615.92359
541337	Milestone Furniture Limited	92.97000
541338	U. H. ZAVERI LIMITED	305.82000
541347	Parvati Sweetners and Power Lt	1491.43817
541352	Megastar Foods Limited	112.93700
541353	Innovators Facade Systems Limi	188.67808
541358	UNIFINZ CAPITAL INDIA LIMITED	442.68085
541400	ZIM Laboratories Limited	536.58488
541401	Arihant Institute Limited	94.05006
541402	Affordable Robotic & Automatio	118.51105
541403	Dollar Industries Limited	567.16120
541418	NAKODA GROUP OF INDUSTRIES LIM	175.38052
541444	Palm Jewels Limited	100.40960
541445	Waa Solar Limited	132.66764
541450	Adani Green Energy Limited	16471.76155
541503	Unick Fix-A- Form and Printers	54.85000
541540	SOLARA ACTIVE PHARMA SCIENCES	477.92330
541545	TALWALKARS HEALTHCLUBS LIMITED	310.04856
541546	GAYATRI HIGHWAYS LTD	2396.51900
541556	RITES Limited	4806.03774
541557	Fine Organic Industries Limite	306.59976
541578	Varroc Engineering Limited	1527.86400
541601	Rajnish Wellness Limited	10153.47685
541627	Gujarat Winding Systems Limite	48.57900
541633	Sophia Traexpo Limited	51.00000
541634	Raw Edge Industrial Solutions	100.58400
541701	Supershakti Metaliks Limited	115.25278
541702	Ashnisha Industries Limited	2651.25000
541703	RACONTEUR GLOBAL RESOURCES LIM	107.77844
541729	HDFC Asset Management Company	4287.86782
541735	Vivanta Industries Limited	1288.25000
541741	Fratelli Vineyards Limited	434.72394
541770	CreditAccess Grameen Ltd.	1604.11330
541771	AMIN TANNERY LIMITED	1079.73360
541778	Deep Polymers Limited	241.80000
541799	Sungold Media and Entertainmen	110.00000
541865	Add-Shop E-Retail Limited	283.12956
541890	Space Incubatrics Technologies	3460.91760
541929	Synergy Green Industries Limit	155.43000
541945	Ranjeet Mechatronics Limited	400.00000
541956	IRCON International Ltd	9405.15740
541967	Sky Gold And Diamonds Limited	1548.73884
541973	Mac Hotels Limited	56.31288
541974	Manorama Industries Limited	631.22390
541983	Innovative Ideals and Services	113.80169
541988	AAVAS Financiers Limited	792.90026
542002	DEVOTED CONSTRUCTION LIMITED	30.01080
542011	Garden Reach Shipbuilders & En	1145.52000
542012	A-1 LIMITED	4600.00000
542013	Dolfin Rubbers Limited	100.29892
542019	Shubham Polyspin Limited	121.22000
542020	AKI India Limited	1032.05956
542025	Sun Retail Limited	1551.68000
542034	S. M. Gold Limited	132.37512
542046	VIVID MERCANTILE LIMITED	1002.56400
542057	BCPL Railway Infrastructure Li	167.23638
542066	ADANI TOTAL GAS LIMITED	10998.10083
542117	Netripples Software Limited	68.16900
542123	The Phosphate Company Limited	36.07480
542141	Techno Electric & Engineering	1162.99574
542145	Roni Households Limited	114.93092
542146	Shree Krishna Infrastructure L	110.00000
542155	Diksha Greens Limited	98.67290
542176	Aryan Share & Stock Brokers Lt	30.00000
542206	NIVAKA FASHIONS LIMITED	1026.90000
542216	DALMIA BHARAT LIMITED	1875.65953
542231	Nila Spaces Ltd	3938.89200
542232	Shankar Lal Rampal Dye-Chem Li	639.66780
542233	Trejhara Solutions Limited	241.16754
542248	Deccan Health Care Limited	234.25513
542285	Axita Cotton Limited	3826.73533
542323	KPI Green Energy Limited	1976.71968
542332	Hi-Klass Trading and Investmen	302.17400
542333	RPSG VENTURES LIMITED	330.86409
542337	Spencer's Retail Limited	901.32009
542351	Gloster Ltd	109.43260
542367	Xelpmoc Design and Tech Limite	148.22321
542376	SPA Capital Services Limited	30.74225
542377	Aar Shyam India Investment Com	30.00000
542383	Ritco Logistics Limited	286.22757
542399	Chalet Hotels Limited	2189.94127
542437	Anmol India Limited	569.14150
542446	Jonjua Overseas Limited	272.77597
542459	Kranti Industries Limited	127.60400
542460	The Anup Engineering Ltd	200.31466
542477	GLAAM UP JWEL LIMITED	100.18000
542484	Arvind Fashions Limited	1336.42192
542503	Mahip Industries Limited	192.39984
542524	AMBASSADOR INTRA HOLDINGS LIMI	20.90834
542543	Energy Infrastructure Trust	6640.00000
542544	Jyot International Marketing L	35.21900
542579	Ashapuri Gold Ornament Limited	3333.14666
542580	Aartech Solonics Limited	317.70375
542592	Humming Bird Education Limited	61.30000
542597	MSTC Limited	704.00000
542599	Roopshri Resorts Limited	72.19020
542602	Embassy Office Parks REIT	9478.93743
542627	Chandni Machines Limited	70.38333
542628	Northern Spirits Limited	160.51200
542641	Cox & Kings Financial Service	728.54454
542649	Rail Vikas Nigam Limited	20850.20100
542650	Metropolis Healthcare Limited	2073.31968
542651	KPIT Technologies Ltd	2741.43808
542652	Polycab India Limited	1506.51978
542654	V R FILMS & STUDIOS LIMITED	109.76000
542655	VIKAS LIFECARE LIMITED	18576.68560
542665	Neogen Chemicals Limited	273.81674
542666	G. K. P. Printing & Packaging	219.98832
542667	White Organic Retail Limited	327.24000
542668	EVANS ELECTRIC LIMITED	54.88000
542669	BMW INDUSTRIES LIMITED	2250.86460
542670	Artemis Electricals and Projec	2510.36900
542677	Mahesh Developers Limited	41.52000
542678	Cian Healthcare Limited	250.00000
542679	Dhanashree Electronics Limited	141.90000
542682	Harish Textile Engineers Limit	33.36000
542684	Prakash Pipes Limited	239.18354
542685	Digicontent Limited	581.87078
542694	Parshva Enterprises Limited	101.89749
542721	Anand Rayons Limited	214.69924
542724	Murae Organisor Limited	20448.60741
542725	SBC EXPORTS LIMITED	4761.90000
542726	IndiaMART InterMESH Limited	601.43148
542727	CITY PULSE MULTIVENTURES LIMIT	106.64033
542728	SK International Export Limite	73.31954
542729	DCM NOUVELLE LIMITED	186.77749
542752	AFFLE 3I LIMITED	1408.79384
542753	SEACOAST SHIPPING SERVICES LIM	5386.80000
542759	Spandana Sphoorty Financial Li	713.05144
542760	STERLING AND WILSON RENEWABLE	2335.31720
542765	Transpact Enterprises Limited	3.86730
542770	Alphalogic Techsys Limited	626.11245
542771	Novateor Research Laboratories	60.52170
542772	360 ONE WAM LIMITED	4068.89534
542773	IIFL CAPITAL SERVICES LIMITED	3148.06543
542774	MUFIN GREEN FINANCE LIMITED	1981.62188
542801	Misquita Engineering Limited	46.88000
542802	Galactico Corporate Services L	1832.83935
542803	Vaxfab Enterprises Limited	168.75035
542812	Gujarat Fluorochemicals Limite	1098.50000
542830	Indian Railway Catering & Tour	8000.00000
542850	GOBLIN INDIA LIMITED	138.18876
542851	Gensol Engineering Limited	380.02434
542852	Vishwaraj Sugar Industries Lim	2178.27700
542857	Greenpanel Industries Limited	1226.27395
542862	Shahlon Silk Industries Limite	893.02450
542864	MOUNT HOUSING AND INFRASTRUCTU	30.28700
542865	Anuroop Packaging Limited	110.53000
542866	COLAB PLATFORMS LIMITED	2040.00000
542867	CSB Bank Limited	1734.85827
542904	Ujjivan Small Finance Bank Lim	19485.40569
542905	Hindware Home Innovation Limit	836.46357
542906	Easun Capital Markets Limited	52.29209
542907	Prince Pipes and Fittings Limi	1105.61079
542910	Valencia Nutrition Limited	198.40341
542911	Assam Entrade Limited	14.39790
542918	Gian Life Care Limited	103.41524
542919	Artemis Medicare Services Limi	1582.73647
542920	SUMITOMO CHEMICAL INDIA LIMITE	4991.45736
542923	TRANWAY21 TECHNOLOGIES LIMITED	105.98800
542924	Janus Corporation Limited	249.11000
542931	Vardhan Capital & Finance Limi	43.48600
542933	UNIVERSUS PHOTO IMAGINGS LIMIT	109.46604
542934	Chandra Bhagat Pharma Limited	75.45056
542938	Octavius Plantations Limited	30.00000
543064	Cohance Lifesciences Limited	3825.67140
543065	SM Auto Stamping Limited	136.87832
543066	SBI CARDS AND PAYMENT SERVICES	9516.42492
543171	RO Jewels Limited	504.46335
543172	Cospower Engineering Limited	18.36500
543187	HITACHI ENERGY INDIA LIMITED	445.72363
543193	DJ Mediaprint & Logistics Limi	343.77851
543194	Nirmitee Robotics India Limite	36.01188
543207	Natural Biocon (India) Limited	257.82800
543208	REGIS INDUSTRIES LIMITED	2581.14000
543209	Billwin Industries Limited	41.79724
543210	Aarti Surfactants Limited	84.70905
543211	BONLON INDUSTRIES LIMITED	163.83358
543212	Borosil Limited	1195.87629
543213	ROSSARI BIOTECH LIMITED	553.94116
543214	NDR Auto Components Limited	237.85304
543217	Mindspace Business Parks REIT	6619.93482
543218	SURATWWALA BUSINESS GROUP LIMI	1734.16440
543220	Max Healthcare Institute Limit	9732.73438
543223	Max India Limited	525.82862
543225	Data Infrastructure Trust	30474.00000
543227	Happiest Minds Technologies Li	1522.74811
543228	Route Mobile Limited	630.03082
543229	Samrat Forgings Limited	50.00000
543230	ADVAIT ENERGY TRANSITIONS LIMI	109.43011
543231	Archidply Decor Limited	55.66250
543232	Computer Age Management Servic	2482.97551
543233	Chemcon Speciality Chemicals L	366.30701
543234	Secmark Consultancy Limited	104.47000
543235	ANGEL ONE LIMITED	9136.87448
543236	Atam Valves Limited	114.63000
543237	Mazagon Dock Shipbuilders Limi	4033.80000
543238	UTI Asset Management Company L	1285.34565
543239	G M Polyplast Limited	134.59600
543240	Likhitha Infrastructure Limite	394.50000
543241	Veer Global Infraconstruction	170.43420
543242	Hemisphere Properties India Li	2850.00000
543243	Equitas Small Finance Bank Lim	11438.96368
543244	Shine Fashions (India) Limited	248.57000
543245	Gland Pharma Limited	1649.59682
543247	Net Pix Shorts Digital Media L	32.00060
543248	Restaurant Brands Asia Limited	7117.18862
543249	TARC LIMITED	2950.96335
543251	Ravinder Heights Limited	612.50746
543252	Fairchem Organics Limited	125.95902
543253	Mrs. Bectors Food Specialities	3069.90595
543254	Antony Waste Handling Cell Lim	283.82100
543256	RITA FINANCE AND LEASING LIMIT	100.00000
543257	Indian Railway Finance Corpora	130685.06000
543258	Indigo Paints Limited	477.32637
543259	Home First Finance Company Ind	1045.33764
543260	STOVE KRAFT LIMITED	331.07321
543261	Brookfield India Real Estate T	8298.80869
543262	MRP Agro Limited	115.00000
543263	SMC Global Securities Limited	2094.00000
543264	Nureca Limited	95.41920
543265	RailTel Corporation of India L	3209.38407
543266	Heranba Industries Limited	400.13467
543267	Davangere Sugar Company Limite	14299.90798
543268	DRC Systems India Limited	1440.81330
543269	Adjia Technologies Limited	8.80400
543270	MTAR Technologies Limited	307.59591
543271	Jubilant Ingrevia Limited	1592.81139
543272	Easy Trip Planners Limited	39846.51865
543273	Knowledge Marine & Engineering	244.44108
543274	SUUMAYA CORPORATION LIMITED	247.23024
543275	Anupam Rasayan India Limited	1138.48310
543276	Craftsman Automation Limited	261.54433
543277	Laxmi Organic Industries Limit	2772.11567
543278	Kalyan Jewellers India Limited	10327.40207
543279	Suryoday Small Finance Bank Li	1062.89824
543280	Nazara Technologies Limited	3704.65024
543281	Suvidhaa Infoserve Limited	2098.06690
543282	Niks Technology Limited	5.00000
543283	UNITED FOODBRANDS LIMITED	390.86387
543284	EKI Energy Services Limited	276.86750
543285	Rajeshwari Cans Limited	104.92000
543286	Artemis ADR Marketplace Limite	59.92900
543287	Lodha Developers Limited	9991.29127
543288	Deep Industries Limited	640.00000
543289	Kuberan Global Edu Solutions L	21.06536
543290	POWERGRID Infrastructure Inves	9099.99200
543298	Vineet Laboratories Limited	192.06266
543299	Shyam Metalics and Energy Limi	2791.31853
543300	Sona BLW Precision Forgings Li	6235.52875
543305	Navoday Enterprises Limited	77.08000
543306	Dodla Dairy Limited	603.27809
543308	Krishna Institute of Medical S	4200.06484
543309	Adeshwar Meditex Limited	144.31426
543310	Times Green Energy (India) Lim	55.74400
543311	India Pesticides Limited	1151.63508
543312	Focus Business Solution Limite	72.87124
543317	G R Infraprojects Limited	967.60529
543318	Clean Science and Technology L	1062.82520
543319	AA Plus Tradelink Limited	2432.48000
543320	Eternal Limited	96503.50647
543321	Tatva Chintan Pharma Chem Limi	233.92055
543322	ALIVUS LIFE SCIENCES LIMITED	1227.71448
543324	Gretex Corporate Services Limi	241.59346
543325	Rolex Rings Limited	2723.33120
543327	Exxaro Tiles Limited	4474.10700
543328	Krsnaa Diagnostics Limited	324.38672
543329	Windlas Biotech Limited	206.95873
543330	Devyani International Limited	12329.39791
543331	Meghmani Organics Limited	2543.14211
543332	Epigral Limited	431.41338
543333	CarTrade Tech Limited	483.26535
543334	Nuvoco Vistas Corporation Limi	3571.56153
543335	Aptus Value Housing Finance In	5008.17736
543336	Chemplast Sanmar Limited	1581.09574
543341	SHARPLINE BROADCAST LIMITED	167.77776
543346	Aashka Hospitals Limited	234.00000
543349	ACUTAAS CHEMICALS LIMITED	818.71122
543350	Vijaya Diagnostic Centre Limit	1029.97715
543351	Naapbooks Limited	112.80600
543352	PlatinumOne Business Services	15.82400
543358	Sansera Engineering Limited	624.03568
543363	Prevest Denpro Limited	120.03000
543364	Markolines Pavement Technologi	222.03720
543366	SBL Infratech Limited	8.11270
543367	Paras Defence and Space Techno	805.87330
543372	Getalong Enterprise Limited	211.60000
543373	Shri Venkatesh Refineries Limi	221.19328
543374	Aditya Birla Sun Life AMC Limi	2892.63746
543375	Promax Power Limited	250.00000
543376	Samor Reality Limited	226.00000
543377	Adishakti Loha and Ispat Limit	125.58000
543378	CWD Limited	241.49635
543384	FSN E-Commerce Ventures Limite	28638.87743
543385	National Highways Infra Trust	21385.50600
543386	Fino Payments Bank Limited	832.18402
543387	S.J.S. Enterprises Limited	320.26654
543389	Sigachi Industries Limited	3821.17010
543390	PB Fintech Limited	4626.94870
543391	Suyog Gurbaxani Funicular Rope	248.62222
543396	One 97 Communications Limited	6411.33110
543397	Sapphire Foods India Limited	3213.82905
543398	Latent View Analytics Limited	2069.24980
543399	Tarsons Products Limited	532.06281
543400	Omnipotent Industries Limited	60.50000
543401	Go Fashion (India) Limited	525.95984
543410	DMR ENGINEERING LIMITED	103.92931
543411	HI-TECH PIPES LIMITED	2031.07734
543412	Star Health and Allied Insuran	5885.76909
543413	Tega Industries Limited	751.27698
543415	Anand Rathi Wealth Limited	1660.41268
543416	Zodiac Energy Limited	151.52633
543417	RateGain Travel Technologies L	1184.25559
543419	Shriram Properties Limited	1706.54392
543420	Jet Freight Logistics Limited	464.03784
543425	C.E. Info Systems Limited	547.61056
543426	Metro Brands Limited	2725.65341
543427	Medplus Health Services Limite	1201.37061
543428	Data Patterns (India) Limited	559.83969
543433	HP Adhesives Limited	918.74735
543434	Supriya Lifescience Limited	804.82800
543435	CLARA INDUSTRIES LIMITED	256.72900
543436	Wherrelz IT Solutions Limited	3.89600
543439	Brandbucket Media & Technology	232.41232
543441	CMS Info Systems Limited	1600.63415
543442	Brand Concepts Limited	124.81877
543443	Ascensive Educare Limited	458.51160
543444	FABINO ENTERPRISES LIMITED	21.00000
543449	WONDER ELECTRICALS LIMITED	1340.08000
543451	AGS TRANSACT TECHNOLOGIES LIMI	1284.33076
543453	ALKOSIGN LIMITED	107.92497
543458	AWL AGRI BUSINESS LIMITED	12996.78605
543460	Quality RO Industries Limited	25.50000
543461	Safa Systems & Technologies Li	249.77550
543462	DEV INFORMATION TECHNOLOGY LIM	563.63715
543463	Vedant Fashions Limited	2429.78245
543464	Maruti Interior Products Limit	604.00000
543470	SoftTech Engineers Limited	138.42138
543475	Ekennis Software Service Limit	14.00000
543482	Eureka Forbes Limited	1934.19186
543489	Gateway Distriparks Limited	4996.43836
543490	GMR Power and Urban Infra Limi	7810.17529
543497	Bhatia Colour Chem Limited	141.39347
543498	Motherson Sumi Wiring India Li	66316.61898
543499	Achyut Healthcare Limited	2413.57000
543500	Evoq Remedies Limited	249.00000
543512	Avro India Limited	1341.71400
543513	Uma Exports Limited	338.09830
543514	Veranda Learning Solutions Lim	963.50847
543515	Sunrise Efficient Marketing Li	191.60000
543516	DHYAANI TRADEVENTTURES LIMITED	170.24000
543517	Hariom Pipe Industries Limited	309.67289
543518	Eighty Jewellers Limited	101.99241
543519	Shashwat Furnishing Solutions	20.88000
543520	Global Longlife Hospital and R	105.00000
543521	Fone4 Communications (India) L	249.50000
543522	Nanavati Ventures Limited	46.70000
543523	Campus Activewear Limited	3056.79721
543524	Rainbow Children's Medicare Li	1015.66639
543525	Silver Touch Technologies Limi	1268.10000
543526	LIFE INSURANCE CORPORATION OF	126499.95402
543527	Prudent Corporate Advisory Ser	414.06680
543528	Venus Pipes & Tubes Limited	207.16110
543529	Delhivery Limited	7490.54626
543530	Paradeep Phosphates Limited	10381.70594
543531	Tierra Agrotech Limited	655.93693
543532	ETHOS LIMITED	267.57693
543533	eMudhra Limited	828.11707
543534	Aether Industries Limited	1327.12576
543535	We Win Limited	101.61000
543536	Silver Pearl Hospitality & Lux	78.53000
543537	Scarnose International Limited	31.50150
543538	Goel Food Products Limited	188.52000
543539	MODI’S NAVNIRMAN LIMITED	195.91200
543540	Pearl Green Clubs and Resorts	26.77100
543541	SAILANI TOURS N TRAVELS LIMITE	47.04000
543542	KESAR INDIA LIMITED	301.71400
543543	B-RIGHT REALESTATE LIMITED	103.31200
543544	JAYANT INFRATECH LIMITED	103.36686
543545	Veerkrupa Jewellers Limited	1310.52533
543546	HEALTHY LIFE AGRITEC LIMITED	496.24000
543547	DDEV PLASTIKS INDUSTRIES LIMIT	1034.76664
543573	Syrma SGS Technology Limited	1928.30485
543578	Olatech Solutions Limited	44.50550
543579	NATURO INDIABULL LIMITED	188.64715
543590	Rhetan TMT Limited	7968.75000
543591	DREAMFOLKS SERVICES LIMITED	532.69862
543593	Dhampur Bio Organics Limited	663.87590
543594	DIPNA PHARMACHEM LIMITED	262.89250
543595	EP BIOCOMPOSITES LIMITED	16.81500
543596	Tamilnad Mercantile Bank Limit	1583.51454
543597	Virtuoso Optoelectronics Limit	318.33079
543598	SHANTIDOOT INFRA SERVICES LIMI	17.98000
543599	Ksolves India Limited	237.20400
543600	Harsha Engineers International	910.44105
543606	CONTAINE TECHNOLOGIES LIMITED	69.94000
543613	MAFIA TRENDS LIMITED	44.33550
543614	Tips Films Limited	43.22886
543615	SILICON RENTAL SOLUTIONS LIMIT	114.19200
543616	Trident Lifeline Limited	119.33000
543617	REETECH INTERNATIONAL LIMITED	42.27100
543618	Cargotrans Maritime Limited	59.21666
543619	Concord Control Systems Limite	103.83404
543620	INSOLATION ENERGY LIMITED	2204.49375
543621	Cargosol Logistics Limited	102.00000
543622	STEELMAN TELECOM LIMITED	96.76200
543623	VEDANT ASSET LIMITED	27.61600
543624	MAAGH ADVERTISING AND MARKETIN	2250.12500
543625	SecUR Credentials Limited	410.62760
543626	Electronics Mart India Limited	3847.48762
543635	PIRAMAL PHARMA LIMITED	13313.48130
543636	Dc Infotech and Communication	164.00000
543637	PACE E-COMMERCE VENTURES LIMIT	225.33510
543638	Tracxn Technologies Limited	1069.18589
543643	Narmada Agrobase Limited	758.72798
543644	InfoBeans Technologies Limited	969.74840
543645	HINDPRAKASH INDUSTRIES LIMITED	114.24110
543650	DCX Systems Limited	1113.86427
543651	DAPS ADVERTISING LIMITED	51.74900
543652	FUSION FINANCE LIMITED	1616.83984
543653	Bikaji Foods International Lim	2507.36400
543654	Global Health Limited	2688.71782
543655	Anzen India Energy Yield Plus	3360.62900
543656	Technopack Polymers Limited	108.00000
543657	Archean Chemical Industries Li	1234.58394
543663	Five-Star Business Finance Ltd	2951.87968
543664	KAYNES TECHNOLOGY INDIA LIMITE	670.34654
543667	INOX GREEN ENERGY SERVICES LIM	4014.92045
543668	B&B Triplewall Containers Limi	205.11240
543669	Keystone Realtors Limited	1262.40412
543670	VINNY OVERSEAS LIMITED	4652.46622
543671	AAA TECHNOLOGIES LIMITED	128.26800
543678	AMBO AGRITEC LIMITED	198.45160
543686	Sirca Paints India Limited	567.92800
543687	Dharmaj Crop Guard Limited	337.97296
543688	Sarveshwar Foods Limited	12316.26469
543689	Uniparts India Limited	451.61027
543709	PNGS GARGI FASHION JEWELLERY L	104.70303
543711	Sula Vineyards Limited	844.47229
543712	ABANS FINANCIAL SERVICES LIMIT	508.39759
543713	Droneacharya Aerial Innovation	239.88600
543714	LANDMARK CARS LIMITED	414.64910
543720	KFin Technologies Limited	1728.46295
543725	Elin Electronics Limited	497.09220
543732	Radiant Cash Management Servic	1067.07906
543737	Aveer Foods Limited	44.80426
543743	Aeroflex Neu Limited	257.96000
543744	Rex Sealing and Packing Indust	25.85000
543745	SVS VENTURES LIMITED	213.49619
543746	LOGICA INFOWAY LIMITED	177.97614
543747	Kamdhenu Ventures Limited	3290.00000
543748	Aarti Pharmalabs Limited	906.79813
543753	DHARNI CAPITAL SERVICES LIMITE	203.70000
543754	TRANSVOY LOGISTICS INDIA LIMIT	26.63040
543765	Earthstahl & Alloys Limited	122.40000
543766	Ashika Global Securities Limit	737.25567
543767	BODHI TREE MULTIMEDIA LIMITED	1816.97777
543768	NMDC Steel Limited	29306.05850
543769	INDONG TEA COMPANY LIMITED	194.21048
543782	Sealmatic India Limited	108.59995
543787	Macfos Limited	103.58503
543798	Patron Exim Limited	231.80000
543799	S.V.J.ENTERPRISES LIMITED	55.71000
543804	AMANAYA VENTURES LIMITED	37.39000
543805	RESGEN LIMITED	209.75000
543806	ITCONS E-Solutions Limited	81.73326
543811	AIRAN LIMITED	1250.20000
543812	DIVGI TORQTRANSFER SYSTEMS LIM	305.82927
543814	PROSPECT CONSUMER PRODUCTS LIM	61.35500
543828	SUDARSHAN PHARMA INDUSTRIES LI	2406.58870
543829	Global Surfaces Limited	423.81818
543830	LABELKRAFT TECHNOLOGIES LIMITE	32.44000
543831	Bright Outdoor Media Limited	218.23166
543843	Command Polymers Limited	93.76700
543848	Dev Labtech Venture Limited	474.52556
543859	Digital Fibre Infrastructure T	19494.66821
543860	J.A. Finance Limited	106.48733
543861	Udayshivakumar infra Limited	553.57142
543874	Maiden Forgings Limited	142.12000
543895	Exhicon Events Media Solutions	147.66500
543896	Avalon Technologies Limited	668.11755
543897	Sancode Technologies Limited	40.68867
543898	BEML Land Assets Limited	416.44500
543899	Cube Highways Trust	13440.69762
543901	ROBUST HOTELS LIMITED	172.91696
543902	Retina Paints Limited	153.40000
543904	Mankind Pharma Limited	4129.95978
543905	INNOKAIZ INDIA LIMITED	102.23600
543910	AVG Logistics Limited	187.08076
543911	Atal Realtech Limited	1238.96250
543912	Power & Instrumentation (Gujar	209.78900
543913	Nexus Select Trust	15150.00000
543914	Swati Projects Limited	101.00000
543915	Pavna Industries Limited	1395.30000
543916	Hemant Surgical Industries Lim	145.37600
543917	SIGMA SOLVE LIMITED	1027.74980
543918	GHCL Textiles Limited	955.85786
543919	M.K.Proteins Limited	3753.72000
543920	CFF FLUID CONTROL LIMITED	209.74100
543921	Comrade Appliances Limited	77.78795
543923	IKIO Technologies Limited	772.80701
543924	Sonalis Consumer Products Limi	47.49000
543925	Maple Infrastructure Trust	4727.73200
543926	Bizotic Commercial Limited	96.42000
543927	Asian Warehousing Limited	34.87200
543928	Cosmic CRF Limited	91.87643
543929	HMA Agro Industries Limited	5007.69770
543930	Uravi Defence and Technology L	114.00000
543931	VEEFIN SOLUTIONS LIMITED	255.39417
543932	IDEAFORGE TECHNOLOGY LIMITED	496.94371
543933	Cyient DLM Limited	793.83368
543934	Machhar Industries Limited	7.40866
543936	Senco Gold Limited	1639.00959
543937	ALPHALOGIC INDUSTRIES LIMITED	101.89200
543938	ACCELERATEBS INDIA LIMITED	34.38080
543939	Kaka Industries Limited	136.60000
543940	Jio Financial Services Limited	66031.41623
543941	AHASOLAR TECHNOLOGIES LIMITED	30.82288
543942	UTKARSH SMALL FINANCE BANK LIM	17795.23684
543943	ASARFI HOSPITAL LIMITED	196.77300
543945	NETWEB TECHNOLOGIES INDIA LIMI	569.40687
543950	YATHARTH HOSPITAL & TRAUMA CAR	963.54357
543951	Innovatus Entertainment Networ	242.06176
543952	NIIT Learning Systems Limited	1380.02783
543953	Khazanchi Jewellers Limited	247.46900
543954	Allcargo Terminals Limited	2520.60324
543955	Transindia Real Estate Limited	2456.95524
543957	REDTAPE Limited	5528.07600
543958	VL E-Governance & IT Solutions	1084.51329
543959	SBFC Finance Limited	11073.06773
543960	Concord Biotech Limited	1046.16204
543962	D.P. WIRES LIMITED	155.00444
543963	SHELTER PHARMA LIMITED	168.36792
543965	TVS Supply Chain Solutions Lim	4411.80027
543969	Pyramid Technoplast Limited	367.84800
543970	Shoora Designs Limited	46.23662
543971	Bondada Engineering Limited	1116.71485
543972	Aeroflex Industries Limited	1323.30768
543974	VISHNU PRAKASH R PUNGLIA LIMIT	1246.44000
543976	Shradha AI Technologies Limite	609.52420
543977	Rishabh Instruments Limited	386.61920
543978	Ratnaveer Precision Engineerin	714.26681
543979	Kahan Packaging Limited	27.20000
543980	Jupiter Life Line Hospitals Li	3278.30110
543981	R R KABEL LIMITED	1131.05505
543982	QUEST FLOW CONTROLS LIMITED	102.57623
543983	EMS LIMITED	555.30807
543984	Samhi Hotels Limited	2221.34736
543985	ZAGGLE PREPAID OCEAN SERVICES	1344.58445
543986	South West Pinnacle Exploratio	298.30011
543988	Nuvama Wealth Management Limit	1836.15547
543989	Sai Silks (Kalamandir) Limited	1533.66112
543990	SIGNATUREGLOBAL (INDIA) LIMITE	1406.86026
543991	TECHKNOWGREEN SOLUTIONS LIMITE	73.82730
543992	YATRA ONLINE LIMITED	1569.16193
543993	ARCL Organics Ltd	80.00000
543994	JSW Infrastructure Limited	23300.01567
543995	MANOJ VAIBHAV GEMS 'N' JEWELLE	488.47441
543996	Updater Services Limited	669.53241
543997	ORGANIC RECYCLING SYSTEMS LIMI	103.99275
543998	Valiant Laboratories Limited	543.12500
544000	CITY CROPS AGRO LIMITED	163.16760
544001	Sunita Tools Limited	62.80461
544002	Vivaa Tradecom Limited	39.37500
544003	Plaza Wires Limited	437.52078
544004	IRM ENERGY LIMITED	410.59677
544005	Intelligent Supply Chain Infra	3048.00000
544008	Max Estates Limited	1635.13410
544009	Blue Jet Healthcare Limited	1892.75701
544011	Vrundavan Plantation Limited	61.89600
544012	Cello World Limited	2208.85034
544013	KK Shah Hospitals Limited	68.08542
544014	Honasa Consumer Limited	3260.24216
544015	Mish Designs Limited	31.83000
544020	ESAF Small Finance Bank Ltd	5160.18126
544021	Protean eGov Technologies Limi	406.21194
544022	ASK Automotive Limited	1971.42600
544023	Kalyani Cast-Tech Limited	71.80500
544025	Arrowhead Seperation Engineer	18.71325
544026	Indian Renewable Energy Develo	28092.31268
544027	Fedbank Financial Services Lim	3749.60731
544028	Tata Technologies Limited	4060.51830
544029	Gandhar Oil Refinery (India) L	978.79530
544030	Flair Writing Industries Limit	1053.95378
544035	Swashthik Plascon Limited	194.67995
544036	DEEPAK CHEMTEX LIMITED	108.64000
544037	Amic Forging Limited	107.48835
544042	Bajel Projects Limited	1156.96935
544044	India Shelter Finance Corporat	1088.54555
544045	DOMS Industries Limited	606.88336
544046	INOX India Limited	907.63500
544047	Siyaram Recycling Industries L	217.89212
544052	Benchmark Computer Solutions L	68.64000
544053	Motisons Jewellers Limited	11375.06600
544054	Suraj Estate Developers Limite	477.73388
544055	Muthoot Microfin Limited	1704.92176
544056	Sahara Maritime Limited	30.70650
544057	Happy Forgings Limited	943.78734
544058	Credo Brands Marketing Limited	653.94103
544059	SHANTI SPINTEX LIMITED	168.88000
544060	RBZ Jewellers Limited	400.00000
544061	Azad Engineering Limited	645.81743
544066	SUNDARAM-CLAYTON LIMITED	220.46162
544067	INNOVA CAPTAB LIMITED	572.24929
544072	AIK Pipes and Polymers Limited	63.63000
544073	Manoj Ceramic Limited	138.07000
544074	Shri Balaji Valve Components L	81.60000
